marque,ram_go,stockage_go,ecran_pouces,batterie_mah,annee,prix_xof,note_utilisateurs
Itel,16,128,6.3,4000,2023,290000,4.7
Samsung,8,32,6.8,5000,2025,270000,4.9
Samsung,6,32,5.5,4500,2024,210000,3.7
Itel,6,256,5.8,5000,2024,251000,4.2
Tecno,3,256,6.8,4000,2024,233000,3.6
Infinix,6,128,6.6,4500,2025,262000,4.3
Infinix,6,128,5.7,4000,2025,288000,4.7
Samsung,12,32,5.8,3000,2025,361000,4.5
Samsung,6,512,6.3,5500,2023,485000,3.3
OnePlus,8,64,5.5,4500,2023,272000,4.5
Samsung,12,128,6.7,3000,2024,352000,3.3
Infinix,4,128,6.3,4500,2024,210000,4.9
Oppo,8,64,5.8,4500,2024,258000,3.2
Tecno,2,128,5.9,5000,2025,205000,
Apple,4,32,5.9,6000,2025,307000,3.7
Tecno,6,64,6.0,6000,2024,230000,4.7
Infinix,3,64,6.1,5000,2024,167000,3.5
Samsung,6,128,5.9,4500,2023,244000,4.4
Itel,16,512,5.8,4000,2025,497000,4.9
Infinix,16,128,5.5,3000,2024,388000,4.1
Itel,6,128,5.6,4500,2023,197000,4.0
OnePlus,4,256,6.5,3000,2023,277000,3.3
Samsung,6,32,6.2,4500,2023,178000,4.8
Itel,6,256,6.4,3000,2023,248000,4.7
Infinix,6,256,6.2,5000,2023,303000,4.8
Samsung,12,64,5.9,4500,2025,397000,4.7
Apple,6,32,5.7,6000,2024,305000,3.8
Huawei,16,64,5.9,4000,2024,430000,3.6
Xiaomi,4,64,6.5,4500,2024,191000,3.4
Itel,4,64,6.8,5500,2024,178000,3.9
Itel,6,128,6.6,5000,2025,234000,3.2
Samsung,3,256,6.7,5500,2025,352000,4.8
Itel,6,128,6.8,5000,2023,188000,4.6
Infinix,3,128,6.7,4000,2025,210000,3.6
Xiaomi,4,64,5.9,4000,2025,222000,
Itel,4,256,6.6,3000,2024,217000,3.2
Samsung,3,32,6.0,6000,2025,214000,3.8
Tecno,6,32,6.1,6000,2023,178000,3.3
Tecno,8,64,5.7,3000,2025,244000,4.8
Samsung,8,64,6.0,4500,2024,284000,4.9
Samsung,4,256,5.9,5000,2025,337000,3.5
Tecno,4,128,5.6,4000,2023,171000,4.1
Xiaomi,6,64,6.7,5500,2024,224000,3.6
Itel,8,32,5.7,5500,2022,149000,4.9
Tecno,2,256,6.5,5000,2023,215000,3.9
Samsung,6,32,6.0,4000,2025,252000,4.1
Xiaomi,6,256,6.7,5000,2024,341000,4.2
Itel,6,128,6.2,5500,2024,231000,4.3
Infinix,4,64,6.0,5500,2022,137000,3.3
Infinix,8,32,6.6,3000,2024,221000,3.8
Huawei,2,128,6.8,5000,2023,197000,4.6
OnePlus,4,64,6.5,6000,2024,231000,4.4
Xiaomi,4,64,6.2,5000,2025,217000,4.7
Itel,2,256,5.6,5000,2025,263000,4.2
Samsung,4,64,5.9,4500,2023,187000,4.5
Tecno,12,512,6.8,4000,2024,534000,3.8
Tecno,3,256,6.3,5500,2025,289000,3.6
Itel,12,64,6.2,6000,2025,292000,3.8
Apple,12,512,6.5,6000,2025,803000,3.8
Xiaomi,4,64,6.1,5500,2022,136000,3.3
Tecno,3,128,6.5,5500,2023,172000,4.0
Tecno,6,128,6.5,5500,2025,254000,4.7
Samsung,16,32,6.2,5000,2022,309000,3.6
Infinix,16,128,6.0,3000,2025,436000,3.3
Itel,3,64,5.7,5000,2024,148000,4.2
Tecno,16,512,6.4,3000,2023,516000,
Infinix,3,32,6.7,4500,2025,186000,3.9
Huawei,12,32,5.5,3000,2025,357000,4.9
Itel,8,64,6.6,3000,2025,226000,3.9
Infinix,3,256,6.6,5500,2025,301000,4.5
Huawei,8,64,6.1,6000,2023,256000,
Oppo,8,32,5.8,4000,2024,240000,4.6
Infinix,8,512,5.6,4500,2024,432000,3.2
Apple,6,128,5.8,6000,2024,397000,4.2
Samsung,6,32,6.4,3000,2024,220000,3.9
Samsung,12,256,5.7,3000,2024,416000,4.0
OnePlus,6,64,6.3,4500,2022,179000,3.4
Tecno,3,128,5.7,3000,2025,212000,4.3
Tecno,3,32,5.7,5000,2023,116000,4.1
Samsung,4,256,5.7,4000,2024,286000,4.6
Samsung,3,256,6.7,5500,2022,254000,3.3
Samsung,16,128,6.7,6000,2024,445000,4.0
Xiaomi,2,64,6.4,6000,2025,186000,4.7
Itel,4,64,6.5,5000,2022,110000,3.6
Infinix,3,256,6.3,5000,2024,272000,4.0
Samsung,8,128,6.3,5000,2023,271000,3.8
Samsung,6,64,6.8,5500,2025,260000,3.6
Itel,6,256,5.6,6000,2023,268000,3.3
Samsung,4,512,5.6,4000,2024,480000,3.2
OnePlus,6,128,6.6,4000,2024,300000,3.7
Apple,3,64,6.1,3000,2025,270000,4.4
Apple,3,128,6.7,5500,2024,278000,3.8
Tecno,3,512,5.9,4000,2022,299000,3.2
Tecno,6,128,6.5,3000,2025,266000,3.9
Huawei,16,64,6.0,3000,2025,450000,4.6
Tecno,8,64,5.7,5500,2023,207000,4.3
Realme,4,128,6.4,6000,2025,255000,4.1
Itel,6,64,6.0,4000,2024,195000,4.3
Tecno,12,128,5.9,5000,2025,363000,4.1
Realme,8,64,5.9,5500,2025,257000,3.5
Infinix,6,128,6.6,4500,2025,262000,4.3
