anciennete_mois,forfait,facture_mensuelle_xof,appels_support,data_go_mois,retards_paiement,churn
12,Annuel,18800.0,1,8.2,0,0
23,Mensuel,2500.0,2,9.5,0,0
18,Prepaye,8700.0,1,15.0,0,0
37,Prepaye,13800.0,1,30.6,0,1
72,Annuel,20600.0,1,34.4,0,1
17,Prepaye,22900.0,1,15.9,1,1
72,Mensuel,23600.0,3,10.2,0,1
12,Prepaye,21100.0,1,27.4,0,0
2,Annuel,19800.0,0,0.8,2,1
2,Prepaye,4700.0,2,3.6,0,1
32,Mensuel,22400.0,1,35.8,1,0
17,Mensuel,11800.0,0,5.8,0,0
10,Mensuel,22900.0,1,37.9,0,1
9,Prepaye,23400.0,4,44.7,1,0
10,Prepaye,7200.0,3,25.8,0,1
4,Prepaye,23700.0,1,35.3,0,0
72,Prepaye,13400.0,1,2.3,1,1
8,Annuel,7500.0,0,24.7,1,0
35,Prepaye,18700.0,2,27.0,0,0
10,Prepaye,2900.0,2,25.8,0,0
5,Mensuel,10900.0,1,17.4,0,0
51,Prepaye,17200.0,3,5.1,3,1
32,Annuel,22400.0,2,8.5,2,1
27,Prepaye,5700.0,3,35.8,0,1
33,Mensuel,21500.0,2,18.7,0,0
72,Prepaye,22500.0,3,24.9,0,0
8,Prepaye,16800.0,0,47.1,2,1
64,Prepaye,24200.0,3,42.6,0,1
20,Annuel,18000.0,1,30.9,1,0
51,Mensuel,18000.0,2,40.6,3,0
39,Mensuel,18100.0,3,5.2,1,0
19,Prepaye,15600.0,0,2.3,1,1
18,Mensuel,7000.0,1,3.1,1,0
32,Annuel,13900.0,2,22.2,0,1
72,Mensuel,18000.0,1,8.2,0,0
31,Mensuel,8400.0,4,12.8,0,0
1,Prepaye,3100.0,0,42.8,1,1
17,Prepaye,6000.0,1,31.0,1,0
24,Mensuel,21700.0,1,4.0,1,0
68,Mensuel,10900.0,2,47.1,0,0
57,Prepaye,3600.0,0,1.4,0,0
2,Prepaye,21400.0,0,40.8,0,1
29,Mensuel,22200.0,2,9.3,3,1
36,Prepaye,23400.0,3,5.6,2,1
55,Prepaye,2200.0,1,16.3,3,0
9,Prepaye,17500.0,3,25.0,0,0
14,Annuel,10100.0,0,7.6,2,1
29,Prepaye,20900.0,1,4.7,1,0
41,Annuel,24700.0,2,39.0,1,0
3,Prepaye,2300.0,1,6.4,0,0
33,Mensuel,24100.0,1,43.5,0,0
1,Annuel,3000.0,3,27.9,2,1
15,Mensuel,15400.0,1,14.4,2,0
8,Prepaye,12700.0,1,4.3,3,1
41,Mensuel,5700.0,5,46.7,1,1
12,Mensuel,24700.0,0,29.9,0,0
45,Mensuel,12800.0,1,3.3,4,0
70,Mensuel,7700.0,1,47.7,1,0
24,Prepaye,4600.0,3,42.7,1,0
13,Prepaye,2700.0,3,7.3,0,1
22,Prepaye,12100.0,2,39.3,0,0
48,Annuel,5400.0,2,23.2,2,0
7,Prepaye,5000.0,0,8.0,0,0
5,Prepaye,22600.0,2,10.0,0,1
8,Prepaye,4000.0,0,23.3,0,0
17,Mensuel,2900.0,2,43.7,1,0
40,Mensuel,6200.0,0,18.8,1,0
15,Mensuel,2800.0,1,44.8,1,0
15,Mensuel,7600.0,1,1.5,0,0
10,Prepaye,22500.0,3,4.8,1,0
14,Prepaye,8500.0,2,18.1,2,1
4,Prepaye,5700.0,0,14.6,0,0
3,Mensuel,11400.0,1,20.2,3,1
27,Annuel,14800.0,1,38.6,0,0
14,Mensuel,7600.0,0,30.7,0,0
5,Prepaye,14200.0,0,17.2,0,1
72,Prepaye,20600.0,1,38.1,1,0
11,Annuel,21100.0,1,36.7,1,1
33,Mensuel,21400.0,0,39.9,0,0
5,Mensuel,17300.0,1,43.9,0,0
14,Prepaye,12600.0,2,12.0,1,0
57,Mensuel,4700.0,2,7.4,2,0
38,Prepaye,9200.0,1,2.2,1,0
11,Mensuel,4500.0,1,20.2,1,0
31,Mensuel,16700.0,2,17.6,0,0
22,Prepaye,12600.0,1,29.5,1,1
50,Annuel,15000.0,3,29.0,1,0
66,Annuel,12400.0,0,49.2,1,0
49,Mensuel,15600.0,1,17.1,1,0
13,Mensuel,23200.0,1,37.0,1,0
4,Prepaye,13500.0,2,29.2,1,0
5,Annuel,5400.0,1,49.8,1,1
34,Prepaye,22700.0,0,9.9,0,0
20,Prepaye,19800.0,2,20.3,1,1
48,Annuel,10600.0,1,20.7,0,0
31,Mensuel,2600.0,0,11.9,1,0
39,Prepaye,17000.0,1,12.5,3,0
6,Prepaye,22600.0,0,4.7,0,1
5,Mensuel,11700.0,3,19.3,1,0
13,Mensuel,12000.0,2,7.4,1,0
39,Prepaye,2500.0,1,31.9,0,1
44,Annuel,14100.0,0,14.0,0,0
4,Mensuel,8300.0,3,1.0,0,0
50,Mensuel,15800.0,1,45.8,0,0
18,Prepaye,5800.0,1,30.4,0,0
9,Prepaye,18500.0,1,24.1,3,1
8,Mensuel,3200.0,2,38.7,0,0
32,Prepaye,17800.0,1,41.0,2,0
11,Prepaye,23100.0,0,47.5,0,1
19,Annuel,18800.0,4,24.7,0,0
70,Prepaye,18200.0,1,28.6,1,0
9,Annuel,24300.0,4,41.5,0,0
7,Prepaye,3800.0,2,3.7,0,0
38,Prepaye,16400.0,2,1.7,1,0
19,Annuel,20400.0,3,24.3,3,1
14,Mensuel,7500.0,0,18.1,0,0
7,Prepaye,2400.0,2,34.1,0,0
38,Prepaye,11600.0,4,49.6,0,0
26,Mensuel,13800.0,1,11.4,0,0
11,Prepaye,24300.0,3,20.1,2,1
7,Prepaye,14400.0,2,43.9,0,1
53,Annuel,21800.0,3,20.7,0,1
31,Prepaye,3900.0,0,34.3,0,0
17,Prepaye,15600.0,2,28.5,0,0
39,Mensuel,21600.0,5,37.8,0,0
50,Prepaye,21000.0,0,17.1,1,0
43,Mensuel,2100.0,1,49.1,1,0
19,Mensuel,4500.0,3,31.8,1,0
28,Prepaye,8900.0,1,29.3,0,0
2,Annuel,24400.0,2,38.0,0,1
10,Prepaye,19700.0,2,49.9,0,0
5,Mensuel,18000.0,0,4.6,1,0
72,Prepaye,11900.0,3,14.1,1,0
7,Prepaye,2700.0,2,23.9,1,0
36,Mensuel,21400.0,2,2.1,3,1
4,Mensuel,11900.0,0,24.8,0,0
8,Mensuel,9100.0,1,4.1,0,0
22,Prepaye,18000.0,2,24.3,0,0
72,Prepaye,13500.0,3,16.7,1,1
1,Prepaye,11100.0,0,28.6,2,1
3,Mensuel,18200.0,0,46.8,0,0
30,Annuel,18400.0,2,4.5,2,0
25,Mensuel,18800.0,0,3.5,0,0
50,Prepaye,24400.0,1,39.6,1,0
31,Prepaye,24900.0,2,34.2,0,1
8,Prepaye,22000.0,3,18.9,1,0
21,Prepaye,18700.0,3,14.2,2,1
24,Mensuel,5000.0,2,12.3,1,0
17,Prepaye,22000.0,2,29.9,0,0
72,Prepaye,17100.0,2,48.5,1,1
5,Mensuel,9800.0,2,31.0,1,1
1,Mensuel,17300.0,3,43.5,0,1
8,Prepaye,14200.0,1,6.5,1,0
17,Prepaye,5400.0,2,47.6,2,0
17,Mensuel,5200.0,0,15.7,1,0
72,Prepaye,17500.0,2,34.8,3,0
49,Mensuel,2700.0,3,33.1,0,0
3,Mensuel,25000.0,0,48.9,0,0
37,Mensuel,19000.0,2,33.5,3,0
4,Mensuel,2100.0,1,20.1,1,0
7,Prepaye,7200.0,0,30.4,1,0
12,Annuel,13900.0,1,17.4,0,0
21,Mensuel,16000.0,4,10.2,0,0
55,Prepaye,23300.0,0,46.8,0,1
16,Prepaye,8600.0,2,15.9,1,0
13,Prepaye,6200.0,1,26.5,1,0
8,Annuel,13100.0,2,31.8,3,0
6,Mensuel,11500.0,3,39.1,0,0
14,Mensuel,4200.0,2,8.8,2,1
1,Mensuel,16000.0,1,19.8,1,0
4,Mensuel,11300.0,2,49.6,0,1
31,Mensuel,8300.0,0,4.7,1,0
7,Prepaye,3600.0,1,40.1,0,0
51,Mensuel,14300.0,1,33.6,2,0
16,Prepaye,14900.0,1,34.7,0,0
3,Prepaye,19400.0,2,46.4,0,1
4,Annuel,23300.0,3,4.9,1,0
37,Mensuel,2800.0,1,18.3,0,0
20,Prepaye,11100.0,2,46.0,2,1
65,Prepaye,20800.0,4,15.6,0,1
5,Mensuel,10000.0,3,43.2,2,1
5,Mensuel,11200.0,0,18.7,0,1
4,Annuel,14600.0,2,25.6,0,1
25,Prepaye,16300.0,1,3.5,1,1
72,Prepaye,18000.0,2,6.5,0,1
29,Prepaye,13700.0,3,31.4,1,1
53,Prepaye,6500.0,1,41.5,2,0
16,Prepaye,8000.0,1,27.0,0,1
7,Annuel,20400.0,2,27.6,1,1
17,Prepaye,9500.0,2,20.0,1,0
72,Mensuel,9300.0,2,42.1,0,0
15,Mensuel,17200.0,3,26.2,0,0
18,Mensuel,3000.0,0,36.0,0,0
1,Annuel,19000.0,1,17.8,2,1
3,Mensuel,19600.0,1,4.6,1,0
24,Prepaye,6700.0,0,30.9,2,1
72,Mensuel,8700.0,4,33.0,0,0
64,Prepaye,10600.0,1,30.8,1,1
6,Annuel,16900.0,2,42.4,1,0
15,Mensuel,18800.0,2,27.5,2,1
4,Mensuel,20800.0,0,25.5,2,1
18,Prepaye,15000.0,4,23.3,0,1
32,Annuel,4300.0,2,28.0,2,0
37,Mensuel,2100.0,1,37.4,0,0
12,Prepaye,5400.0,3,22.7,2,1
13,Mensuel,2100.0,1,39.8,0,0
16,Mensuel,3500.0,2,30.4,2,0
17,Prepaye,3300.0,2,39.5,1,1
10,Prepaye,4000.0,0,30.1,3,0
25,Mensuel,4700.0,2,28.8,1,0
10,Prepaye,2600.0,2,15.3,1,0
50,Mensuel,6300.0,2,7.1,0,0
17,Prepaye,18800.0,1,30.7,0,0
26,Annuel,3600.0,0,14.5,0,0
57,Prepaye,8300.0,3,24.6,0,1
57,Prepaye,14200.0,1,45.0,0,0
72,Mensuel,23500.0,0,21.2,0,0
72,Prepaye,17000.0,0,28.5,2,1
3,Prepaye,7200.0,1,28.3,1,0
31,Prepaye,18300.0,1,23.2,1,0
46,Mensuel,12600.0,2,3.6,1,0
2,Mensuel,6600.0,1,16.8,1,1
51,Annuel,22000.0,1,49.3,1,1
15,Annuel,14400.0,1,33.0,1,0
72,Prepaye,14000.0,2,31.9,1,0
19,Prepaye,18000.0,2,45.4,0,0
4,Prepaye,6200.0,2,22.3,1,0
40,Mensuel,24200.0,3,8.7,1,1
1,Mensuel,14100.0,2,36.7,0,0
42,Mensuel,18300.0,1,41.2,1,0
43,Prepaye,6000.0,2,12.4,0,0
15,Mensuel,17000.0,1,42.2,2,1
28,Prepaye,17800.0,0,9.2,1,0
8,Mensuel,18000.0,1,11.0,0,0
26,Annuel,22000.0,3,45.4,1,1
15,Prepaye,21900.0,1,48.9,0,0
2,Mensuel,23100.0,2,45.6,2,0
32,Prepaye,21100.0,2,35.3,1,1
1,Prepaye,8900.0,1,15.3,1,0
46,Mensuel,15600.0,1,4.4,0,0
1,Mensuel,24900.0,2,41.7,1,1
58,Mensuel,21100.0,3,16.2,0,0
23,Annuel,12200.0,3,12.3,1,0
17,Mensuel,23900.0,3,4.0,0,1
16,Prepaye,5200.0,2,24.4,0,0
8,Prepaye,13900.0,0,0.9,0,1
3,Prepaye,20500.0,2,46.6,0,1
24,Prepaye,9900.0,2,35.3,1,0
13,Prepaye,11500.0,3,41.3,2,1
2,Prepaye,3400.0,2,19.5,1,1
14,Mensuel,3600.0,0,18.1,2,0
22,Prepaye,16600.0,4,45.2,0,0
4,Prepaye,11700.0,1,29.1,0,1
20,Prepaye,18800.0,3,33.8,0,1
38,Prepaye,20400.0,4,29.3,0,1
30,Mensuel,10600.0,0,21.8,0,0
11,Prepaye,2600.0,2,4.0,0,0
28,Mensuel,10400.0,0,49.4,1,0
16,Prepaye,13600.0,2,2.0,0,0
1,Mensuel,12500.0,2,47.8,0,0
23,Mensuel,24600.0,2,19.6,0,0
5,Mensuel,14500.0,3,13.3,0,1
11,Prepaye,24200.0,1,29.2,0,0
24,Prepaye,11200.0,4,10.5,0,1
16,Mensuel,7200.0,5,39.6,0,0
8,Annuel,23700.0,0,23.4,2,0
12,Prepaye,6700.0,2,24.9,3,0
35,Mensuel,24000.0,0,5.9,1,0
54,Prepaye,22300.0,2,46.4,0,0
28,Mensuel,17900.0,0,15.3,0,0
8,Prepaye,24000.0,0,49.9,2,1
33,Mensuel,19000.0,0,37.8,2,0
23,Prepaye,13200.0,0,20.7,0,1
11,Prepaye,20600.0,1,47.8,1,1
17,Mensuel,18300.0,0,4.1,0,0
7,Prepaye,20500.0,3,24.1,0,1
72,Mensuel,10200.0,1,44.5,1,0
24,Prepaye,17700.0,1,41.2,1,0
4,Mensuel,8200.0,1,7.1,1,0
10,Prepaye,13800.0,0,14.2,1,0
1,Prepaye,19000.0,1,18.3,0,0
10,Mensuel,22500.0,2,48.2,0,0
17,Prepaye,16600.0,1,8.8,3,0
