montant_xof,heure,type_operation,anciennete_compte_j,nb_tx_24h,fraude
1810,15,paiement,144,3,0
3220,16,paiement,391,3,0
3340,11,paiement,928,3,0
1740,15,paiement,1899,3,0
1960,13,paiement,97,3,0
1490,14,retrait,1557,4,0
4430,12,paiement,564,3,0
8300,17,transfert,1549,1,0
6620,17,paiement,155,3,0
1930,13,transfert,1528,4,0
1370,18,transfert,1817,3,0
2370,11,retrait,1621,5,0
3720,16,paiement,479,3,0
1370,12,paiement,695,4,0
870,13,paiement,102,2,0
4130,15,paiement,994,4,0
17370,8,transfert,1085,2,0
5380,11,transfert,62,3,0
8590,13,paiement,701,3,0
6030,19,transfert,506,3,0
15830,10,retrait,1777,2,0
6020,17,paiement,229,1,0
26350,15,transfert,471,3,0
7200,17,transfert,214,2,0
10840,13,transfert,1595,3,0
1870,15,retrait,1909,2,0
7520,13,retrait,1710,3,0
9310,14,transfert,1153,3,0
6780,16,transfert,1413,6,0
8220,18,transfert,1597,3,0
4740,11,transfert,594,1,0
3210,18,paiement,1058,3,0
42200,21,transfert,1460,4,0
2450,20,paiement,338,4,0
6900,20,transfert,856,3,0
7330,17,paiement,222,2,0
21360,8,transfert,119,5,0
4100,14,transfert,1882,4,0
7300,13,retrait,415,1,0
320750,2,retrait,29,14,1
2810,12,transfert,1269,4,0
980,9,transfert,701,5,0
15910,14,paiement,1794,1,0
3850,11,retrait,1902,3,0
13940,17,transfert,1585,1,0
750,21,retrait,721,1,0
2340,14,paiement,1410,2,0
1340,8,retrait,1896,3,0
790,20,retrait,249,1,0
6570,10,transfert,1179,4,0
6010,14,paiement,1121,6,0
35270,10,paiement,400,3,0
880,15,retrait,1378,6,0
4600,12,retrait,1974,2,0
6300,15,paiement,847,1,0
4940,14,transfert,1891,3,0
1430,16,transfert,1247,1,0
19850,14,transfert,1708,4,0
8790,19,transfert,449,1,0
1040,19,paiement,1811,4,0
4850,17,paiement,934,4,0
1820,15,paiement,1796,3,0
3050,10,paiement,204,2,0
28800,14,paiement,1604,2,0
4440,13,retrait,1504,1,0
41640,12,paiement,941,1,0
8260,15,transfert,1078,1,0
2370,10,paiement,69,2,0
5980,17,transfert,1584,1,0
19360,16,paiement,281,3,0
5040,14,paiement,230,1,0
2880,10,paiement,1796,1,0
6980,13,retrait,1639,1,0
5370,17,transfert,581,2,0
1140,14,paiement,1232,2,0
2730,14,paiement,294,2,0
10430,9,transfert,1203,6,0
5310,13,transfert,1688,2,0
7010,12,transfert,1060,4,0
910,12,transfert,1020,3,0
2220,15,retrait,1266,1,0
8690,23,retrait,1583,1,0
19130,15,retrait,703,3,0
3290,15,paiement,1452,4,0
990,19,paiement,1896,2,0
5420,16,transfert,1847,3,0
5800,14,retrait,918,3,0
5170,18,transfert,816,1,0
10580,4,retrait,712,3,0
3940,12,paiement,855,4,0
3860,9,paiement,1993,2,0
5870,13,paiement,405,0,0
2590,14,transfert,922,4,0
1380,10,transfert,835,0,0
11410,19,paiement,467,2,0
3070,15,transfert,499,1,0
6070,15,paiement,1346,3,0
6590,8,paiement,1788,3,0
9710,8,paiement,1117,4,0
11790,13,transfert,867,0,0
34190,16,paiement,304,4,0
5590,2,transfert,4,16,1
6190,17,transfert,1340,3,0
3590,14,transfert,513,2,0
8240,6,paiement,1337,3,0
2930,14,paiement,1205,2,0
4760,21,transfert,886,4,0
2550,13,retrait,299,3,0
10250,16,transfert,1393,3,0
7230,14,paiement,1148,1,0
7350,13,retrait,1890,5,0
3320,12,paiement,1401,2,0
18070,14,paiement,1263,3,0
9340,14,transfert,1995,4,0
1080,6,transfert,500,1,0
1990,10,paiement,65,4,0
11920,13,retrait,950,3,0
14050,20,transfert,484,1,0
2770,18,paiement,1939,5,0
6700,12,paiement,470,3,0
2830,12,retrait,1912,4,0
1420,11,transfert,1006,1,0
210,10,transfert,1654,3,0
8360,18,retrait,1738,6,0
4230,14,paiement,1494,4,0
5840,14,transfert,541,3,0
7980,14,paiement,1276,4,0
3550,14,transfert,711,1,0
2970,15,transfert,78,0,0
20110,13,transfert,908,4,0
1960,16,paiement,1370,3,0
4430,16,transfert,813,4,0
5250,13,paiement,1732,5,0
8760,19,paiement,94,4,0
2670,21,paiement,998,1,0
2780,17,paiement,52,1,0
1180,17,transfert,1724,1,0
3880,12,retrait,310,4,0
2230,14,paiement,95,1,0
24780,16,retrait,424,1,0
25100,15,retrait,1436,3,0
16090,14,paiement,1297,2,0
2730,12,retrait,461,3,0
70860,13,transfert,480,5,0
3900,7,retrait,1462,3,0
1210,22,transfert,988,5,0
18560,19,transfert,289,3,0
6580,12,paiement,517,4,0
6880,13,paiement,1323,2,0
1210,12,paiement,364,4,0
2310,16,paiement,102,7,0
4610,13,transfert,1875,0,0
9500,13,paiement,1029,0,0
11210,15,paiement,1045,2,0
13320,9,paiement,1356,3,0
8040,10,retrait,1890,5,0
13290,18,paiement,1328,2,0
4640,15,retrait,1571,4,0
8410,16,transfert,888,3,0
1560,7,transfert,795,2,0
5730,11,transfert,1250,4,0
1740,7,paiement,1172,6,0
3920,15,retrait,148,2,0
2250,10,paiement,1611,4,0
4360,13,transfert,387,2,0
17290,13,transfert,115,6,0
13830,12,retrait,726,3,0
2680,15,transfert,919,4,0
5110,13,transfert,1106,3,0
7140,10,paiement,873,4,0
1140,16,paiement,198,3,0
5070,10,paiement,1606,4,0
14840,9,retrait,1333,3,0
2020,16,transfert,220,6,0
5250,17,retrait,1056,2,0
7730,16,transfert,101,2,0
5320,16,paiement,812,7,0
5290,13,paiement,1759,4,0
7970,10,paiement,1951,5,0
2740,16,transfert,815,2,0
7760,14,paiement,644,2,0
7990,8,transfert,329,1,0
5620,12,retrait,501,1,0
6450,11,paiement,1033,6,0
4380,17,paiement,754,4,0
3460,13,paiement,1527,2,0
393970,3,transfert,86,10,1
14430,13,paiement,991,1,0
620,12,paiement,935,7,0
34250,11,transfert,1793,2,0
7440,11,transfert,1370,0,0
3540,14,paiement,53,4,0
1920,16,paiement,223,3,0
8490,19,paiement,435,3,0
2750,17,retrait,1215,4,0
1920,6,paiement,1237,2,0
6480,17,paiement,1637,6,0
8920,18,paiement,1103,2,0
7040,11,retrait,450,6,0
9680,15,transfert,1529,2,0
4070,10,retrait,431,3,0
6310,19,paiement,1529,0,0
1330,9,paiement,632,7,0
1250,19,transfert,213,3,0
26240,21,transfert,1362,4,0
13420,11,transfert,1583,2,0
2300,13,paiement,1208,7,0
3520,18,transfert,1187,2,0
5580,6,paiement,1883,4,0
1710,2,paiement,188,5,0
7010,11,transfert,1914,1,0
2230,10,retrait,521,4,0
550,17,paiement,1802,0,0
5220,16,retrait,132,4,0
6400,8,paiement,1944,2,0
2540,10,retrait,1135,3,0
6920,21,paiement,932,4,0
24170,9,transfert,152,3,0
2750,10,paiement,680,6,0
10880,13,transfert,1010,3,0
950,14,transfert,1167,5,0
2750,18,retrait,1815,2,0
2080,15,paiement,1242,3,0
6240,13,transfert,1280,3,0
14600,2,transfert,12,11,1
1580,9,retrait,248,5,0
5230,18,paiement,252,2,0
2430,16,transfert,887,5,0
3690,11,paiement,1372,3,0
10730,12,paiement,739,2,0
4110,15,retrait,146,3,0
1210,8,paiement,781,2,0
4700,12,paiement,1933,5,0
12120,22,transfert,1079,3,0
1060,16,retrait,176,3,0
3560,17,paiement,1978,4,0
6760,19,transfert,527,3,0
3080,14,retrait,944,1,0
17840,12,transfert,1362,1,0
4080,7,retrait,559,2,0
10160,14,paiement,955,4,0
11690,23,retrait,127,4,0
3110,13,paiement,1638,5,0
4640,11,retrait,355,4,0
12670,10,retrait,1451,1,0
3500,16,transfert,1606,2,0
4090,17,paiement,1507,5,0
7380,9,transfert,1074,6,0
4200,8,retrait,162,3,0
6220,18,paiement,786,3,0
4580,12,transfert,1038,2,0
4280,15,transfert,776,0,0
7280,19,paiement,1698,4,0
5040,15,paiement,225,3,0
4740,9,paiement,1675,3,0
2260,14,transfert,328,0,0
52560,6,paiement,516,4,0
1800,16,retrait,1103,3,0
8670,11,transfert,621,4,0
7870,15,paiement,1198,3,0
2670,14,transfert,949,0,0
5000,16,paiement,1516,3,0
32020,9,retrait,743,5,0
5690,13,paiement,36,2,0
10900,17,retrait,90,6,0
4400,12,transfert,165,0,0
7480,15,retrait,1409,1,0
11680,9,paiement,633,4,0
6990,17,paiement,1688,2,0
1820,16,retrait,820,1,0
5190,12,retrait,1111,1,0
18640,12,paiement,1447,6,0
1850,9,transfert,266,3,0
8110,17,paiement,822,1,0
9180,20,retrait,1179,3,0
4220,14,transfert,1737,6,0
5270,11,retrait,1693,2,0
2920,10,paiement,1361,5,0
11910,12,paiement,248,2,0
5990,8,paiement,1447,6,0
5570,12,paiement,1170,1,0
7810,16,transfert,226,6,0
8890,12,paiement,1457,1,0
